LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AT,HUR,TOT,PC_LF,M,2015-09,6.4,
AT,HUR,TOT,PC_LF,M,2015-10,5.9,
AT,HUR,TOT,PC_LF,M,2015-11,6.7,
AT,HUR,TOT,PC_LF,M,2015-12,6.2,
AT,HUR,TOT,PC_LF,M,2016-01,6.6,
AT,HUR,TOT,PC_LF,M,2016-02,6.4,
AT,HUR,TOT,PC_LF,M,2016-03,6.1,
AT,HUR,TOT,PC_LF,M,2016-04,6.2,
AT,HUR,TOT,PC_LF,M,2016-05,6.8,
AT,HUR,TOT,PC_LF,M,2016-06,6.7,
AT,HUR,TOT,PC_LF,M,2016-07,6.7,
AT,HUR,TOT,PC_LF,M,2016-08,7,
AT,HUR,TOT,PC_LF,M,2016-09,6.6,
AT,HUR,TOT,PC_LF,M,2016-10,6.3,
AT,HUR,TOT,PC_LF,M,2016-11,6.2,
AT,HUR,TOT,PC_LF,M,2016-12,6.1,
AT,HUR,TOT,PC_LF,M,2017-01,6.1,
AT,HUR,TOT,PC_LF,M,2017-02,6.1,
AT,HUR,TOT,PC_LF,M,2017-03,6,
AT,HUR,TOT,PC_LF,M,2017-04,5.8,
AT,HUR,TOT,PC_LF,M,2017-05,6.1,
AT,HUR,TOT,PC_LF,M,2017-06,5.6,
AT,HUR,TOT,PC_LF,M,2017-07,6.1,
AT,HUR,TOT,PC_LF,M,2017-08,5.9,
AT,HUR,TOT,PC_LF,M,2017-09,6,
AT,HUR,TOT,PC_LF,M,2017-10,5.7,
AT,HUR,TOT,PC_LF,M,2017-11,5.9,
AT,HUR,TOT,PC_LF,M,2017-12,5.8,
AT,HUR,TOT,PC_LF,M,2018-01,5.7,
AT,HUR,TOT,PC_LF,M,2018-02,5.2,
AT,HUR,TOT,PC_LF,M,2018-03,5.2,
AT,HUR,TOT,PC_LF,M,2018-04,5.2,
AT,HUR,TOT,PC_LF,M,2018-05,4.7,
AT,HUR,TOT,PC_LF,M,2018-06,5.1,
AT,HUR,TOT,PC_LF,M,2018-07,5.5,
AT,HUR,TOT,PC_LF,M,2018-08,5.4,
AT,HUR,TOT,PC_LF,M,2018-09,5.4,
AT,HUR,TOT,PC_LF,M,2018-10,5.5,
AT,HUR,TOT,PC_LF,M,2018-11,4.7,
AT,HUR,TOT,PC_LF,M,2018-12,5.2,
AT,HUR,TOT,PC_LF,M,2019-01,4.9,
AT,HUR,TOT,PC_LF,M,2019-02,5,
AT,HUR,TOT,PC_LF,M,2019-03,5,
AT,HUR,TOT,PC_LF,M,2019-04,5,
AT,HUR,TOT,PC_LF,M,2019-05,4.9,
AT,HUR,TOT,PC_LF,M,2019-06,4.6,
AT,HUR,TOT,PC_LF,M,2019-07,4.9,
AT,HUR,TOT,PC_LF,M,2019-08,5.1,
AT,HUR,TOT,PC_LF,M,2019-09,4.6,
AT,HUR,TOT,PC_LF,M,2019-10,5,
AT,HUR,TOT,PC_LF,M,2019-11,4.1,
AT,HUR,TOT,PC_LF,M,2019-12,4.7,
AT,HUR,TOT,PC_LF,M,2020-01,4.3,
AT,HUR,TOT,PC_LF,M,2020-02,4.6,
AT,HUR,TOT,PC_LF,M,2020-03,4.8,
AT,HUR,TOT,PC_LF,M,2020-04,6.1,
AT,HUR,TOT,PC_LF,M,2020-05,7.1,
AT,HUR,TOT,PC_LF,M,2020-06,7.9,
AT,HUR,TOT,PC_LF,M,2020-07,6.8,
